category_id,name,price,company_name,active_ingredient,how_supplied,storage,dosage_form,pack_size,origin,strength,image,detail,note,documentation_availability,sourcing_delivery,frequently_asked_questions,disclaimer,on_request,source_url,show_on_home
1,Talzenna,2000,Pfizer,Talazoparib Tosylate,,15°C to 30°C,,30 Capsules,Germany,0.25 mg,,Talzenna is a registered Trademark of Pfizer,Talzenna 0.25 mg 30 Capsules Summary of Product Characteristics (SmPC ) - (EMA) ema.europa.eu [ June 2019 ],,,,,,https://www.ema.europa.eu/en/medicines/human/EPAR/talzenna,
1,Talzenna,3400,Pfizer,Talazoparib Tosylate,,15°C to 30°C,,30 Capsules,Germany,1 mg,,Talzenna is a registered Trademark of Pfizer,Talzenna1 mg 30 Capsules Summary of Product Characteristics (SmPC ) - (EMA) ema.europa.eu [ June 2019 ],,,,,,https://www.ema.europa.eu/en/medicines/human/EPAR/talzenna,
11,Tazverik,8000,Epizyme,Tazemetostat,,15°C to 30°C,,240 Tablets,Japan,200 mg,,Tazverik  is a register trademark of Epizyme,Tazverik200 mg240 Tablets Summary of Product Characteristics (SmPC)  - (FDA) fda.gov [2020],,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213400s000lbl.pdf,
1,Tazverik,3650,Epizyme,Tazemetostat,,15°C to 30°C,,56 Tablets,USA,200mg,,Tazverik is a registered Trademark of Epizyme,Tazverik  200mg   56 Tablets Summary of Product Characteristics (SmPC)  - (FDA) fda.gov,,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213400s000lbl.pdf,
2,Trodelvy,980,Gilead Sciences,Sacituzumab govitecan,,2°C to 8°C,,Single Vial,Germany,200 mg,,Trodelvy is a registered Trademark of Gilead Science,Trodelvy200 mgSingle vialSummary of Product Characteristics (SmPC ) - (EMA) ema.europa.eu[November 2021],,,,,,https://www.ema.europa.eu/en/medicines/human/EPAR/trodelvy,
2,Trodelvy,980,Gilead Sciences,Sacituzumab govitecan,,2°C to 8°C,,Single Vial,Germany,180 mg,,Trodelvy is a registered Trademark of Gilead Science,Trodelvy180 mgSingle vialSummary of Product Characteristics (SmPC ) - (EMA) ema.europa.eu[November 2021],,,,,,https://www.ema.europa.eu/en/medicines/human/EPAR/trodelvy,
1,Truqap,6200,Astra Zeneca Pharm,Capivasertib,,15°C to 30°C,,64 Tablets,USA,160 mg,,Truqap is a register trademark of Astra Zeneca Pharm,Truqap160 mg64 TabletsSummary of Product Characterstic (SmPC)  -(FDA) fda.gov [16 Nov 2023],,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf,
1,Truqap,4730,Astra Zeneca Pharm,Capivasertib,,15°C to 30°C,,64 Tablets,USA,200 mg,,Truqap is a register trademark of Astra Zeneca Pharm,Truqap200 mg64 TabletsSummary of Product Characterstic (SmPC)  -(FDA) fda.gov [16 Nov 2023],,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf,
11,Vyloy,710,Astellas Pharma,Zolbetuximab,,2°C to 8°C,,Single Vial,Netherland,100 mg,,Vyloy  is a registered Trademark of Astellas Pharma,Vyloy  100 mg Single Vial Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/vyloy-epar-product-information_en.pdf,
11,Vyloy,2300,Astellas Pharma,Zolbetuximab,,2°C to 8°C,,3 Vial,Netherland,100 mg,,Vyloy  is a registered Trademark of Astellas Pharma,Vyloy  100 mg 3 Vial Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/vyloy-epar-product-information_en.pdf,
